sentences,labels
"Judging by the previous posts, this was a good place, but not anymore.",[[9]]
The four of us arrived at noon - the place was empty - and the staff acted as if we were imposing and they were very rude.,[[15]]
"The food was terrible, too sweet or too salty and the portions were small.","[[1], [11]]"
Avoid this place.,[[2]]
"I've eaten at Saul many times, the food is always consistent, very good.",[[7]]
Saul is the best restaurant on Smith Street and Brooklyn.,[[0]]
Duck jam is always amazing and foie gras terrine with figs was out of this world.,"[[6, 7, 8, 9, 10], [0, 1]]"
The wine list is interesting and has many good values.,"[[1, 2], [1, 2]]"
I was very disappointed with this restaurant.,[[6]]
Ive asked a carriage assistant for rice wrapped in lotus leaves and she answered rice and left.,"[[3, 4]]"
"The food was good, nothing good.",[[1]]
"The food was dry; the shu mai was fatter than usual and had to share a table with a noisy, rude family.","[[0, 1], [4, 5, 6]]"
We'll never go back to this place.,[[6]]
"He went to a three-day oyster party, with fish that brought the closing, and I'm so glad this was the place where the trip ended, because it was so great!",[[8]]
"The service was delicious, the oysters were sensual and the price is unbeatable!!!","[[1], [5]]"
"Every time I'm in New York, I aim to visit the Saul restaurant on Smith Street.","[[12, 10]]"
"Everything is always perfectly cooked, the service is excellent, the decor fresh and underrated.","[[6], [10]]"
I had the duck breasts special on my last visit and it was amazing.,"[[3, 4, 5]]"
"The food is very average... Thai food is too sweet, everything served is too sweet here.","[[1], [5, 6]]"
The only thing I enjoyed moderately was his chicken-on-grill special with Edamame puree .,"[[8, 8, 9, 10, 11, 12]]"
I'd never made Edamame pureed before but I thought it was innovative and tasty (I could have used a little more salt).,"[[3, 4], [3, 4]]"
"The decoration is nocturnal... but they really need to clean the roof ventilation... it's pretty unappetizing, and it kills your effort to make this place look stylish and modern.","[[24], [1], [12]]"
"His sake list was extensive, but we were looking for purple mist, which wasn't on the list, but was made for us at our request!","[[1, 2]]"
"The spicy tuna roll was unusually good and the Tempura rock shrimp was amazing, a great snack to share!","[[1, 2, 3], [10, 11, 9]]"
We went out around 9:30 a.m. on a Friday and he was a little dead by then so the service was great!,[[19]]
We love the pink pony.,"[[3, 4]]"
The perfect place,[[2]]
The food is great.,[[1]]
friendly and attentive service.,[[3]]
A relaxed and elegant atmosphere.,[[0]]
"Don't judge this place at first sight, you have to prove it to believe it, a home away from home for the literate heart.",[[3]]
The food is decent.,[[1]]
"However, it's the service that leaves a bad taste in my mouth.",[[3]]
"I have a policy that goes with a little self-respect, which includes not letting a waiter intimidate me, that is, make me feel bad asking for trivial things like water or a check.",[[15]]
This place has to be the best Japanese restaurant in the New York area.,[[1]]
The food is great.,[[1]]
The service is first class.,[[1]]
I tend to judge a sushi restaurant by its sea orchid that was heavenly in sushi rose.,"[[9, 10]]"
The sushi looked pretty fresh and was properly proportioned.,"[[1], [1]]"
The rice-fish ration was also good - they didn't try to overpack the rice.,"[[1, 1, 1, 2]]"
"We took advantage of the half-price sushi deal on Saturday, so it was worth it.","[[5, 5, 6, 7], [5, 5, 6, 7]]"
"At night, this place attracted a well-dressed crowd, with her, New",[[7]]
The food was well prepared and the service impeccable.,"[[1], [7]]"
The fixed-price menu is worth every penny and you get more than enough (both in quantity and quality).,"[[1, 1, 2], [1, 1, 2], [1, 1, 2]]"
"$6 and there's plenty of tasty food, all fresh and continuously refilled.","[[6], [6], [6]]"
"I'm not a vegetarian, but almost all the dishes were excellent.",[[8]]
"The food here is pretty good, but only if you like to wait.",[[1]]
I like C chai and chole but D'ha and Dah was a little disappointing.,"[[3], [5], [7], [9]]"
"The service varies from day to day... sometimes they're very nice, and sometimes they're not.",[[1]]
"The kitchen, however, is almost always slow.",[[1]]
"Also, specify if you like your spicy food, it's pretty soft if you don't.",[[7]]
