sentences,labels
"After previous posts, this was a good place, but not anymore.",[[7]]
The four of us arrived at noon - the place was empty - and the staff acted as if we were forcing them.,[[15]]
The food was bad - too sweet or too salty and the portions tiny.,"[[1], [12]]"
- Stay away from this place !,[[5]]
"I've eaten at Saul's a lot, the food is always consistent, incredibly good.",[[7]]
Saul is the best restaurant in Smith Street and Brooklyn.,[[0]]
The duck crib is always fantastic and the foie gras land with figs was from this world.,"[[1, 2], [8, 9, 10, 11, 12]]"
The wine list is interesting and has many good grades.,"[[1, 2]]"
I was very disappointed in this restaurant .,[[6]]
I asked a car operator for a lotus leaf of rice and she answered for rice and just left.,"[[3, 4]]"
"The food was fine, nothing good.",[[1]]
The food was dry; pork was fatter than usual and had to sit at a table with a loud and rude family.,"[[0, 1], [4]]"
We're never coming back here.,[[4]]
"I was on a three-day oyster binge with fish that made the final cut, and I'm so glad that this is where the trip ended, because it was so great!",[[8]]
"Service was discovering oysters where a sensual like them come in, and the price can't be beat!!!","[[0], [3]]"
"Every time I'm in New York, I go to the Saul restaurant on Smith Street.","[[11, 9]]"
"Everything is perfectly cooked, the service is excellent, the decor is cool and subservient.","[[5], [9]]"
I had the Entebrust special last time and it was amazing.,"[[3, 4]]"
"The food is very average... the Thai fusion stuff is a little too sweet, everything they serve is too sweet here.","[[1], [6, 7, 8]]"
The only thing I enjoyed was her chicken-grilled special with Edamame puree .,"[[7, 7, 8, 9, 10, 11]]"
"I had never taken care of Edamame before, but I thought it would be innovative and delicious (I could have used a little more salt).","[[6, 5]]"
"The decor is night time, but you have to clean the ceiling ventilation, it's pretty unappetizing, and it kills your efforts to make this place look elegant and modern.","[[1], [12], [24]]"
"Your sake list was extensive, but we were looking for purple mist that wasn't listed, but was made on request for us!","[[1, 2]]"
"The spicy tuna scrolls were unusually good and the rock shrimp Tempura was fantastic, a great starter to share!","[[1, 2, 3], [9, 3, 11]]"
"We were there at 9:30 on Friday and it was already a little weaker, so the service was great!",[[16]]
We love the pink pony .,"[[3, 4]]"
The perfect place .,[[2]]
- The food is great.,[[2]]
- kind and attentive.,[[0]]
"Don't judge this place at first glance, you have to try to believe it, a home away from home for the alphabetic heart.",[[3]]
The food is decent.,[[1]]
But it's the service that makes me taste bad.,[[3]]
"I have a policy that comes with a little self-esteem, which involves not being intimidated by a waiter, so I feel bad about asking for trivial things like water or checks.",[[17]]
The food is great.,[[1]]
The service is top notch.,[[1]]
"I tend to judge a sushi restaurant by its Sea Urchin, which was heavenly at Sushi Rose.","[[9, 10]]"
The sushi looked pretty fresh and was reasonably proportionate.,[[1]]
The fish-rice ration was also good - they didn't try to overpack the rice.,"[[1, 1, 1, 2]]"
"We made a profit on the half-price sushi deal on Saturday, so it was worth it.","[[6, 6, 7, 8]]"
"In the evening, this place attracted a well-dressed crowd.",[[8]]
The food was well prepared and the service was impeccable.,"[[1], [7]]"
The price-fixed menu is worth every penny and you get more than enough (both in quantity and quality).,"[[1, 1, 2]]"
"Six bucks and there's plenty of delicious food, all fresh and refilled all the time.",[[7]]
"I'm not a vegetarian, but almost all the dishes were great.",[[8]]
"The food here is pretty good, but only if you want to wait.",[[1]]
"I like the somosas, chai and chole, but the dhosas and Dahl were pretty disappointing.","[[3], [4], [6], [9], [9]]"
"The service varies from day to day, sometimes they're very nice, sometimes they're not.",[[1]]
"The kitchen is almost always slow, though.",[[1]]
"Also, indicate whether you like your food spicy. It's more sloppy if you don't like it.",[[6]]
"The ambiance is nice and nice to talk about, so a casual lunch here would probably be the best.",[[1]]
"If you add that good service and good food to a reasonable price, you'll have a good evening.","[[5], [8]]"
"The lavender cake dessert was incredible, and I recommend it.","[[1, 2, 3]]"
"Once you get into Cosette, you're in a wonderful little unclaimed Paris bistro.",[[4]]
"This little restaurant is as cozy as it can be, with this Parisian flair.",[[2]]
"The food was average, the onion soup was not too impressive, and the desserts weren't so good.","[[1], [5, 5, 6], [13]]"
"But for the atmosphere, and the food as a companion to a journey around the world!","[[3], [6]]"
The pizza was delivered cold and the cheese had not even melted completely!,"[[1], [7]]"
The pizza is too expensive and too wet.,[[1]]
"Yeah, they use fancy ingredients, but fancy ingredients don't make a good pizza, either, unless someone knows how to make the crust right.","[[4], [12], [21]]"
I had the best meals of my life in Minnow.,[[4]]
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.","[[1], [7, 8], [12]]"
"The combination of super fresh ingredients in the dishes is unusual, but really delicious.",[[5]]
This is the best pastrami I've ever had and a great serving without being ridiculous.,"[[4], [11]]"
"My wife had the fried shrimp, they're huge, and they loved it.","[[4, 5]]"
"As a Japanese birthday girl, I've lived in the Tristate region for over eight years, but I was just so surprised by this place.",[[23]]
This is the most Japanese place you can ever get.,[[5]]
"The signs, the special menus, the food, even the waiters are all Japanese.","[[1], [3, 4], [6], [9]]"
"Leon is a gem of the East Village: casual but hip, with well-prepared French bistros, good specialties, a warm and lively atmosphere.","[[0], [14], [16], [21]]"
"My wife and I enjoy the young, not always well-educated, yet friendly staff, all of whom have a history.",[[12]]
decent wine at decent prices.,[[1]]
"Every time I decide to try another store in the U.S., I get angry that I didn't just go to the Zucchero Pomodori.","[[21, 22]]"
This is my favorite place in the neighborhood.,[[4]]
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.","[[1], [5], [10], [17]]"
I 'm part of the Gnocchi .,[[5]]
This place is incredibly small.,[[1]]
"The hostess is so rude, she's insulting.",[[1]]
The food was fat.,[[1]]
"We've been here many times and we always have good food, wine and service.","[[10], [11], [13]]"
"We were afraid we would have trouble coming, but somehow we managed to have a short wait.",[[16]]
"As usual, we had a great glass of wine while we waited.","[[6, 7, 8]]"
We had a quick service.,[[4]]
The people who work there are always so friendly that sometimes you can forget you're in New York.,[[1]]
This is a fun place.,[[4]]
The pizza is delicious and I like the atmosphere .,"[[1], [8]]"
But the pizza is too expensive.,[[2]]
I was late for lunch and it wasn't as good as I expected.,[[4]]
The sauce was water-rich and the food didn't taste very good.,"[[1], [6]]"
That's great.,[[0]]
The waitress was very patient with us and the food is phenomenal!,"[[1], [9]]"
"The service was quick, friendly and great.",[[1]]
Great pizza and fantastic service .,"[[1], [4]]"
"It was a short wait, but shorter than I expected.",[[4]]
This is the best sushi in New York City.,[[4]]
"It's small and tight, but the food is fantastic.",[[6]]
Get the tuna from Gari .,"[[2, 3, 4]]"
"Thailand has always been a hit for me , I usually go there for sushi , which is great , the Thai food is also excellent .","[[0], [14], [21, 22]]"
"With the variety on the menu , I often eat here and never get bored .",[[5]]
"The atmosphere isn 't the best , but they keep prices low .",[[1]]
It 's all about the food !,[[5]]
"First , it took us a long time to find the place .",[[11]]
"But when we looked at the menu, there weren't many options, most of them were dumplings in the front desk.",[[6]]
"The rolls were big, but not good, and the sashimi wasn't fresh.","[[1], [9]]"
"Try the crushing tuna, it's going to die.","[[2, 3]]"
I only came here to enjoy her garden terrace .,"[[7, 8]]"
"The food was amazing, the service was quick and helpful, but not overblown or rushed.","[[1], [5]]"
"The steak tartar is a great bet, they'll make it for you at the table.","[[1, 2]]"
"Although some nights at the restaurant were pretty warm, the open kitchen is part of the charm.","[[5], [10, 11]]"
"A good selection of wine, gigondas are worth the price, and champagne is a great value.","[[4, 2], [5], [11]]"
"It's a little crowded on the weekends, but the atmosphere is good and it's the best French food you can find in the area.","[[9], [16, 17]]"
"I recommended the place to friends, always get a good answer.",[[3]]
- the only pizza in New York that shouldn't have any extra toppings - the crust tastes like the best freshly baked bread!,"[[3], [15]]"
I 'm taking all my New York guests to VT 's .,[[9]]
"I don't know where the former critic, Lonk, ate, but Saul is in a great neighborhood and has great food!","[[15], [19]]"
"I would highly recommend it for a special occasion, offering an intimate environment and a nice service.","[[12], [16]]"
"I don't know where the other critics ate, but it seems like we went to two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.",[[25]]
And you 're gonna have to take the sharp shell .,"[[8, 9]]"
"The Moules were excellent, the lobster rabioli very salty!","[[1], [5, 6]]"
"I took my mother to Mother's Day, and Master D was pretty rude.","[[8, 9]]"
The little dessert cost $8.00... just too expensive for what it is.,[[2]]
The drinks are always well made and the wine selection is cheap.,"[[1], [8, 9]]"
Try her chef's specialties.,"[[2, 3]]"
"Service isn't exactly five stars, but that's not really a big deal.",[[0]]
The apartment downstairs is always a good attraction.,"[[2, 0]]"
"Ragas is a romantic, cozy restaurant.",[[0]]
The exotic food is beautifully presented and enjoyed in delicious combinations.,"[[1, 2]]"
The staff is incredibly helpful and attentive.,[[1]]
The bar is very well equipped with interesting beers and well-priced wines .,"[[1], [8], [11]]"
"When we came across Leon, we thought we'd found the jewel, but we were wrong.",[[4]]
"The waitress practically put our table in the bathroom, and when we were about to cancel our dinner orders because we didn't want to eat in the bathroom, we were told, no...",[[1]]
"Useless services, medical food... there are many restaurants in New York... stay away from this.","[[1], [3]]"
I 've been looking forward to Jekyll and Hyde .,"[[6, 7, 8]]"
"I loved everything about it , especially the shows and the actors .","[[8], [11]]"
Our server was very helpful and friendly.,[[1]]
The food was good too.,[[1]]
The tuna and Wasabe potatoes are excellent.,"[[1], [3, 4]]"
"The atmosphere outside, sitting on the sidewalk and seeing the world 50 feet away on 6th Avenue on a cool evening, was wonderful.","[[2, 1]]"
The service was quick and polite.,[[1]]
- Very good . - Good .,[[2]]
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, crushed cheese that is common in most pizzeria.","[[1], [7, 8]]"
