sentences,labels
"Judging by the previous posts, it was a good place, but no more.",[[9]]
"We arrived at noon, four people, the room was empty, and the staff acted as if we were setting rules.",[[12]]
"The food was disgusting, too sweet or too salty, and the portions were tiny.","[[1], [11]]"
Stay away from this place!,[[4]]
"I've eaten at Saul's house, several times, the food is always consistent, incredibly good.",[[8]]
Saul is the best restaurant in Smith Street and Brooklyn.,[[0]]
Duck candy is still amazing and the fat liver with figs was out of this world.,"[[0, 1], [8, 9, 10]]"
The list of wines is interesting and has many values.,"[[3, 1]]"
I was very disappointed in this restaurant .,[[6]]
She asked a waitress for a lotus-leafed rice and she answered for rice and ran away.,[[3]]
"The food was good, nothing great.",[[1]]
"The cabbage was dry; the shu mai pork was fatter than usual, and we had to share a table with a noisy, rude family.","[[0, 1], [7, 5, 6]]"
I'm never coming back here.,[[4]]
"I had a three-day oyster party, with fish closing, and I'm so glad that's where the trip ended, because it was so great!",[[7]]
"The service was delicious, the oysters where a sensual like them come, and the price can't be beat !!!","[[1], [5]]"
"Every time I'm in New York, I make a point of going to the Saul restaurant on Smith Street.","[[15, 13]]"
"Everything is always perfectly cooked, the service is excellent, the decor is fresh and discreet.","[[6], [10]]"
I made a special duck breast on my last visit and it was amazing.,"[[4, 5, 3]]"
"The food is very average... the Thai fusion is a little too sweet, everything they serve is too sweet here.","[[1], [6, 7]]"
The only thing I liked about them was their special chicken roast with Edamame Puree .,"[[11, 10, 9, 12, 13, 14]]"
"I'd never made Edamame puree before, but I thought it was innovative and tasty (I could have used a little more salt).","[[3, 4]]"
"The decor is nocturnal... but they really need to clean this ceiling ventilation... it's pretty unappetizing, and it kills your effort to make this place stylish and modern.","[[1], [12], [24]]"
"Their sake list was vast, but we were looking for the purple mist, which was not listed but made for us on request!","[[1, 2]]"
"The spicy tuna was exceptionally good and the tempura shrimp was great, a great appetizer to share!","[[1, 2, 2], [9, 8]]"
We were at 9:30 on Friday and he was a little down so the service was great!,[[14]]
We like pink pony .,"[[2, 3]]"
The perfect place .,[[2]]
- The food is great.,[[2]]
- the friendly and attentive service.,[[5]]
- the atmosphere is relaxed and elegant.,[[1]]
"Don't judge this place at first glance, you have to try to believe it, a home away from home for the literal heart.",[[3]]
The food is decent.,[[1]]
But it's the service that leaves me with a bad taste.,[[3]]
"I have a policy that comes with a little self-respect, which includes not letting a server intimidate me, which is, make me feel bad about asking for trivial things like water or a check.",[[15]]
This place must be the best Japanese restaurant in New York.,[[1]]
The food is delicious.,[[1]]
The service is top notch.,[[1]]
"I judge a sushi restaurant by its sea bear, which was gorgeous with pink sushi.","[[7, 8]]"
The sushi looked pretty fresh and proportionate.,[[1]]
The fish rice ration was just as good -- they didn't try to overstack the rice.,"[[2, 0, 1, 3]]"
"We took advantage of the half-price sushi deal on Saturday, so it was worth it.","[[5, 5, 6, 7]]"
"Tonight, this place was attracting a crowd of well-dressed people.",[[6]]
The food was well prepared and the service was impeccable.,"[[1], [7]]"
"The fixed price is worth every penny, and you get more than enough (in quantity and quality).","[[2, 1]]"
"$6 and there's plenty of tasty food, all fresh and continuously stuffed.",[[6]]
"I'm not a vegetarian, but almost every dish was great.",[[7]]
"The food here is pretty good, but only if you like to wait.",[[1]]
"I like soybeans, chai and chole, but dhosa and dhal were a little disappointing.","[[3], [5], [7], [9]]"
"The service varies from day to day, sometimes they're very nice, and sometimes they're not.",[[1]]
The kitchen is almost always slow.,[[1]]
"Also, tell them if you like your spicy food - it's rather bland if you don't.",[[8]]
"The atmosphere is nice and pleasant for conversation, so an occasional lunch here would probably be the best.",[[1]]
"If you've ever been along the river in Weehawken, you have an idea of the view from the top that the card house has to offer.",[[15]]
Add to this great service and good food at a reasonable price and you have a great evening to start.,"[[4], [7]]"
"The lava cake dessert was amazing, and I recommend it.","[[1, 2, 3]]"
"Once you get into Cosette, you're miraculously in a small Parisian bistro.",[[4]]
"This little restaurant is as welcoming as it can be, with that certain Parisian style.",[[2]]
"The food was average to above average; the onion soup was not very impressive, and the desserts were not bright at all.","[[1], [8, 8, 9], [16]]"
"But for the atmosphere, consider food as a companion on a trip around the world!","[[3], [5]]"
